,Year,Season,SB,Winner,Winner_code,Winner Pts,Loser,Loser_code,Loser Pts,MVP,Stadium,City,State,,,
0,2021,2020,LV (55),Tampa Bay Buccaneers,TB,31,Kansas City Chiefs,KC,9,Tom Brady,Raymond James Stadium,Tampa,Florida,,,
1,2020,2019,LIV (54),Kansas City Chiefs,KC,31,San Francisco 49ers,SF,20,Patrick Mahomes,Hard Rock Stadium,Miami Gardens,Florida,,,
2,2019,2018,LIII (53),New England Patriots,NE,13,Los Angeles Rams,LAR,3,Julian Edelman,Mercedes-Benz Stadium,Atlanta,Georgia,,,
3,2018,2017,LII (52),Philadelphia Eagles,PHI,41,New England Patriots,NE,33,Nick Foles,U.S. Bank Stadium,Minneapolis,Minnesota,,,
4,2017,2016,LI (51),New England Patriots,NE,34,Atlanta Falcons,ATL,28,Tom Brady,NRG Stadium,Houston,Texas,,,
5,2016,2015,50,Denver Broncos,DEN,24,Carolina Panthers,CAR,10,Von Miller,Levi's Stadium,Santa Clara,California,,,
6,2015,2014,XLIX (49),New England Patriots,NE,28,Seattle Seahawks,SEA,24,Tom Brady,University of Phoenix Stadium,Glendale,Arizona,,,
7,2014,2013,XLVIII (48),Seattle Seahawks,SEA,43,Denver Broncos,DEN,8,Malcolm Smith,MetLife Stadium,East Rutherford,New Jersey,,,
8,2013,2012,XLVII (47),Baltimore Ravens,BAL,34,San Francisco 49ers,SF,31,Joe Flacco,Mercedes-Benz Superdome,New Orleans,Louisiana,,,
9,2012,2011,XLVI (46),New York Giants,NYG,21,New England Patriots,NE,17,Eli Manning,Lucas Oil Stadium,Indianapolis,Indiana,,,
10,2011,2010,XLV (45),Green Bay Packers,GB,31,Pittsburgh Steelers,PIT,25,Aaron Rodgers,Cowboys Stadium,Arlington,Texas,,,
11,2010,2009,XLIV (44),New Orleans Saints,NO,31,Indianapolis Colts,IND,17,Drew Brees,Sun Life Stadium,Miami Gardens,Florida,,,
12,2009,2008,XLIII (43),Pittsburgh Steelers,PIT,27,Arizona Cardinals,ARI,23,Santonio Holmes,Raymond James Stadium,Tampa,Florida,,,
13,2008,2007,XLII (42),New York Giants,NYG,17,New England Patriots,NE,14,Eli Manning,University of Phoenix Stadium,Glendale,Arizona,,,
14,2007,2006,XLI (41),Indianapolis Colts,IND,29,Chicago Bears,CHI,17,Peyton Manning,Dolphin Stadium,Miami Gardens,Florida,,,
15,2006,2005,XL (40),Pittsburgh Steelers,PIT,21,Seattle Seahawks,SEA,10,Hines Ward,Ford Field,Detroit,Michigan,,,
16,2005,2004,XXXIX (39),New England Patriots,NE,24,Philadelphia Eagles,PHI,21,Deion Branch,Alltel Stadium,Jacksonville,Florida,,,
17,2004,2003,XXXVIII (38),New England Patriots,NE,32,Carolina Panthers,CAR,29,Tom Brady,Reliant Stadium,Houston,Texas,,,
18,2003,2002,XXXVII (37),Tampa Bay Buccaneers,TB,48,Oakland Raiders,LV,21,Dexter Jackson,Qualcomm Stadium,San Diego,California,,,
19,2002,2001,XXXVI (36),New England Patriots,NE,20,St. Louis Rams,LAR,17,Tom Brady,Louisiana Superdome,New Orleans,Louisiana,,,
20,2001,2000,XXXV (35),Baltimore Ravens,BAL,34,New York Giants,NYG,7,Ray Lewis+,Raymond James Stadium,Tampa,Florida,,,
21,2000,1999,XXXIV (34),St. Louis Rams,LAR,23,Tennessee Titans,TEN,16,Kurt Warner+,Georgia Dome,Atlanta,Georgia,,,
22,1999,1998,XXXIII (33),Denver Broncos,DEN,34,Atlanta Falcons,ATL,19,John Elway+,Pro Player Stadium,Miami Gardens,Florida,,,
23,1998,1997,XXXII (32),Denver Broncos,DEN,31,Green Bay Packers,GB,24,Terrell Davis+,Qualcomm Stadium,San Diego,California,,,
24,1997,1996,XXXI (31),Green Bay Packers,GB,35,New England Patriots,NE,21,Desmond Howard,Louisiana Superdome,New Orleans,Louisiana,,,
25,1996,1995,XXX (30),Dallas Cowboys,DAL,27,Pittsburgh Steelers,PIT,17,Larry Brown,Sun Devil Stadium,Tempe,Arizona,,,
26,1995,1994,XXIX (29),San Francisco 49ers,SF,49,San Diego Chargers,LAC,26,Steve Young+,Joe Robbie Stadium,Miami Gardens,Florida,,,
27,1994,1993,XXVIII (28),Dallas Cowboys,DAL,30,Buffalo Bills,BUF,13,Emmitt Smith+,Georgia Dome,Atlanta,Georgia,,,
28,1993,1992,XXVII (27),Dallas Cowboys,DAL,52,Buffalo Bills,BUF,17,Troy Aikman+,Rose Bowl,Pasadena,California,,,
29,1992,1991,XXVI (26),Washington Redskins,WAS,37,Buffalo Bills,BUF,24,Mark Rypien,Metrodome,Minneapolis,Minnesota,,,
30,1991,1990,XXV (25),New York Giants,NYG,20,Buffalo Bills,BUF,19,Ottis Anderson,Tampa Stadium,Tampa,Florida,,,
31,1990,1989,XXIV (24),San Francisco 49ers,SF,55,Denver Broncos,DEN,10,Joe Montana+,Louisiana Superdome,New Orleans,Louisiana,,,
32,1989,1988,XXIII (23),San Francisco 49ers,SF,20,Cincinnati Bengals,CIN,16,Jerry Rice+,Joe Robbie Stadium,Miami Gardens,Florida,,,
33,1988,1987,XXII (22),Washington Redskins,WAS,42,Denver Broncos,DEN,10,Doug Williams,Jack Murphy Stadium,San Diego,California,,,
34,1987,1986,XXI (21),New York Giants,NYG,39,Denver Broncos,DEN,20,Phil Simms,Rose Bowl,Pasadena,California,,,
35,1986,1985,XX (20),Chicago Bears,CHI,46,New England Patriots,NE,10,Richard Dent+,Louisiana Superdome,New Orleans,Louisiana,,,
36,1985,1984,XIX (19),San Francisco 49ers,SF,38,Miami Dolphins,MIA,16,Joe Montana+,Stanford Stadium,Palo Alto,California,,,
37,1984,1983,XVIII (18),Los Angeles Raiders,LV,38,Washington Redskins,WAS,9,Marcus Allen+,Tampa Stadium,Tampa,Florida,,,
38,1983,1982,XVII (17),Washington Redskins,WAS,27,Miami Dolphins,MIA,17,John Riggins+,Rose Bowl,Pasadena,California,,,
39,1982,1981,XVI (16),San Francisco 49ers,SF,26,Cincinnati Bengals,CIN,21,Joe Montana+,Pontiac Silverdome,Pontiac,Michigan,,,
40,1981,1980,XV (15),Oakland Raiders,LV,27,Philadelphia Eagles,PHI,10,Jim Plunkett,Louisiana Superdome,New Orleans,Louisiana,,,
41,1980,1979,XIV (14),Pittsburgh Steelers,PIT,31,Los Angeles Rams,LAR,19,Terry Bradshaw+,Rose Bowl,Pasadena,California,,,
42,1979,1978,XIII (13),Pittsburgh Steelers,PIT,35,Dallas Cowboys,DAL,31,Terry Bradshaw+,Orange Bowl,Miami,Florida,,,
43,1978,1977,XII (12),Dallas Cowboys,DAL,27,Denver Broncos,DEN,10,Harvey MartinRandy White+,Superdome,New Orleans,Louisiana,,,
44,1977,1976,XI (11),Oakland Raiders,LV,32,Minnesota Vikings,MIN,14,Fred Biletnikoff+,Rose Bowl,Pasadena,California,,,
45,1976,1975,X (10),Pittsburgh Steelers,PIT,21,Dallas Cowboys,DAL,17,Lynn Swann+,Orange Bowl,Miami,Florida,,,
46,1975,1974,IX (9),Pittsburgh Steelers,PIT,16,Minnesota Vikings,MIN,6,Franco Harris+,Tulane Stadium,New Orleans,Louisiana,,,
47,1974,1973,VIII (8),Miami Dolphins,MIA,24,Minnesota Vikings,MIN,7,Larry Csonka+,Rice Stadium,Houston,Texas,,,
48,1973,1972,VII (7),Miami Dolphins,MIA,14,Washington Redskins,WAS,7,Jake Scott,Memorial Coliseum,Los Angeles,California,,,
49,1972,1971,VI (6),Dallas Cowboys,DAL,24,Miami Dolphins,MIA,3,Roger Staubach+,Tulane Stadium,New Orleans,Louisiana,,,
50,1971,1970,V (5),Baltimore Colts,BAL,16,Dallas Cowboys,DAL,13,Chuck Howley,Orange Bowl,Miami,Florida,,,
51,1970,1969,IV (4),Kansas City Chiefs,KC,23,Minnesota Vikings,MIN,7,Len Dawson+,Tulane Stadium,New Orleans,Louisiana,,,
52,1969,1968,III (3),New York Jets,NYJ,16,Baltimore Colts,BAL,7,Joe Namath+,Orange Bowl,Miami,Florida,,,
53,1968,1967,II (2),Green Bay Packers,GB,33,Oakland Raiders,LV,14,Bart Starr+,Orange Bowl,Miami,Florida,,,
54,1967,1966,I (1),Green Bay Packers,GB,35,Kansas City Chiefs,KC,10,Bart Starr+,Memorial Coliseum,Los Angeles,California,,,
